Solved,Name,URL,Difficulty,Success Rate,ID
No,Simple Array Sum | HackerRank,https://www.hackerrank.com/challenges/simple-array-sum/problem?isFullScreen=true,Warmup,,
No,Staircase | HackerRank,https://www.hackerrank.com/challenges/staircase/problem?isFullScreen=true,Warmup,,
No,Compare the Triplets | HackerRank,https://www.hackerrank.com/challenges/compare-the-triplets/problem?isFullScreen=true,Warmup,,
No,A Very Big Sum | HackerRank,https://www.hackerrank.com/challenges/a-very-big-sum/problem?isFullScreen=true,Warmup,,
No,Diagonal Difference | HackerRank,https://www.hackerrank.com/challenges/diagonal-difference/problem?isFullScreen=true,Warmup,,
No,Plus Minus | HackerRank,https://www.hackerrank.com/challenges/plus-minus/problem?isFullScreen=true,Warmup,,
No,Mini-Max Sum | HackerRank,https://www.hackerrank.com/challenges/mini-max-sum/problem?isFullScreen=true,Warmup,,
No,Birthday Cake Candles | HackerRank,https://www.hackerrank.com/challenges/birthday-cake-candles/problem?isFullScreen=true,Warmup,,
No,Time Conversion | HackerRank,https://www.hackerrank.com/challenges/time-conversion/problem?isFullScreen=true,Warmup,,
No,Breaking the Records | HackerRank,https://www.hackerrank.com/challenges/breaking-best-and-worst-records/problem?isFullScreen=true,Warmup,,
No,Divisible Sum Pairs | HackerRank,https://www.hackerrank.com/challenges/divisible-sum-pairs/problem?isFullScreen=true,Warmup,0.9764,
No,Bill Division | HackerRank,https://www.hackerrank.com/challenges/bon-appetit/problem?isFullScreen=true,Warmup,0.9797,
No,Cats and a Mouse | HackerRank,https://www.hackerrank.com/challenges/cats-and-a-mouse/problem?isFullScreen=true,Warmup,0.9804999999999999,
No,The Hurdle Race | HackerRank,https://www.hackerrank.com/challenges/the-hurdle-race/problem?isFullScreen=true,Warmup,0.9886,
No,Breaking the Records | HackerRank,https://www.hackerrank.com/challenges/breaking-best-and-worst-records/problem?isFullScreen=true,Warmup,0.9851000000000001,
No,Utopian Tree | HackerRank,https://www.hackerrank.com/challenges/utopian-tree/problem?isFullScreen=true,Warmup,0.978,
No,Find Digits | HackerRank,https://www.hackerrank.com/challenges/find-digits/problem?isFullScreen=true,Warmup,0.9682,
